Unnamed: 0,subject_hash,project,hip_flexion_median,hip_adduction_median,hip_rotation_median,knee_angle_median,ankle_angle_median,lumbar_extension_median,lumbar_bending_median,lumbar_rotation_median,neck_extension_median,neck_bending_median,neck_rotation_median,arm_flex_median,arm_add_median,elbow_flex_median,All_median,RTE (cm),pelvis_tilt_mean,pelvis_list_mean,pelvis_rotation_mean,hip_flexion_r_mean,hip_adduction_r_mean,hip_rotation_r_mean,knee_angle_r_mean,ankle_angle_r_mean,subtalar_angle_r_mean,hip_flexion_l_mean,hip_adduction_l_mean,hip_rotation_l_mean,knee_angle_l_mean,ankle_angle_l_mean,subtalar_angle_l_mean,lumbar_extension_mean,lumbar_bending_mean,lumbar_rotation_mean
37,inE8D0tKfI0ndXex,LLPU,4.722532811024801,1.8597849520267788,2.316626850418136,7.232214104559701,5.131656019666687,1.8760898942360689,1.246332792382553,2.137592224346469,5.4219429013736375,0.728760480429439,2.527885241776865,3.52505230635053,1.286747875475165,3.9237302347607623,2.655240308710688,,13.36451,1.5529766,1.7784386,6.226444,2.105804,2.0921082,10.831483,7.8641286,7.8293843,4.2488933,1.837673,3.5185773,7.010598,6.2981205,4.5347104,2.5438786,1.5148852,2.2558224
38,XIwY6XYzyWiylGNv,LLPU,4.9451777680601765,2.174041315408831,2.6206351552808185,6.310815182222634,5.557683519617532,2.573135458471611,2.0661945494050333,2.42859755657674,9.753740653662696,1.3128225495185115,3.2617903487552047,5.163830479525679,1.183244896340084,4.982477858004439,3.259194236540365,,4.075038,2.0237446,2.287271,4.4242907,2.83182,3.5640514,7.3562737,7.4952173,5.4344025,7.00762,2.2900498,2.511942,5.937847,6.1665316,4.9764767,2.9998229,2.4870987,2.4886277
39,XIwY6XYzyWiylGNv,LLPU,3.7609804872176986,1.8846195198489453,2.8499128663305107,6.328670150486694,5.841690896156302,2.327682365363448,1.2165070638243998,1.380096070861729,7.442600152695373,1.4060281647061517,3.200129535362445,4.291431761181107,1.0762499829918342,4.892536219466419,2.970712232321591,,3.2456183,1.4262954,2.3588922,3.601749,2.6264122,4.3873262,8.158673,7.0272174,4.7280493,6.1763263,1.8637147,2.5235908,5.5148997,6.563203,4.5328503,2.9638054,1.6042535,1.7833604
40,XIwY6XYzyWiylGNv,LLPU,4.055174664016719,2.296806281776994,3.648576917820445,5.184782084804693,5.512548775808442,4.044357351918712,1.914145146970441,1.8527080222729997,8.050247932205558,1.9213377630532875,3.395610616625268,7.218029509200877,1.7766961276603968,5.069236628389233,3.4894702224259366,,4.0609612,2.333086,3.2835562,4.2652755,3.2640002,4.5542526,8.366397,7.477012,9.991205,5.1871395,2.4060817,3.723633,4.4458613,6.1477704,4.2555776,4.7618847,2.149778,2.058214
41,XIwY6XYzyWiylGNv,LLPU,3.439933848583596,2.100667794806557,2.952704438574852,5.12614448389331,5.929247091126696,2.56043984435185,1.681333880242325,2.639628203815332,6.348975876002319,2.0012479881346747,2.504434000705038,4.485855657226458,1.5342790536383042,5.647770726562238,3.155094896513378,,5.108114,2.0327656,2.0420635,3.534019,2.8640149,4.123885,7.9222083,9.60839,6.1721764,5.293901,2.0396774,3.5705247,4.4663563,6.4319744,5.241232,3.133052,2.288581,3.2426696
42,XIwY6XYzyWiylGNv,LLPU,3.8095465473110735,1.911021829529041,3.2578849746538383,5.915195684456687,5.002937262776389,3.1051354778293194,1.290474597441053,1.85384162023181,7.369244774783082,1.1322978749907242,2.745308305748354,6.93930485709829,1.479029653442071,6.320648093306514,3.195965681289676,,3.496911,1.9179237,3.4497252,3.4266968,2.6461961,3.8136804,9.403629,7.2272058,7.850936,5.97633,1.9678898,3.5002508,4.625675,5.299509,4.5015326,4.3469024,1.4361819,2.3531334
43,BZK8le8meIzImjGV,LLPU,4.109623224532768,2.851431302760369,2.581667218518603,8.420679826746614,5.587469547701135,6.968417684661823,2.9928764096216938,1.815196836794701,2.502356769423708,1.503109485360951,3.8372954714747207,2.884429867631405,1.368979084213887,3.920438937354463,3.119138219401492,,8.826251,1.3254179,2.7293856,7.2139215,3.0526462,2.8698456,9.935239,5.433166,3.997369,3.570179,3.4579825,3.3442748,7.0990014,6.1490035,2.0038195,6.8619885,2.9422736,2.2160943
44,BZK8le8meIzImjGV,LLPU,5.387542226732045,4.250922762987407,2.343297885353389,6.848110732621218,5.053622815946585,5.886105055007956,3.053187833766553,1.6220601112427793,2.607037956190616,1.6366420315122276,8.315256710681114,2.3484636428000347,1.7023076836361417,4.512652196887711,3.3985998916042064,,42.285294,1.9785136,1.9597676,8.202031,4.566067,3.325168,11.111224,6.123529,4.2765913,4.018157,4.648186,1.8759856,6.1697187,6.3392725,2.6433272,5.736246,3.051854,1.6351693
45,BZK8le8meIzImjGV,LLPU,2.2204919378502064,1.008715100191158,2.1370648056764976,3.7955835062134526,4.097217039679086,1.4135067949604925,1.2020206594816258,3.1759822553255117,1.5428624669908946,4.36223094079652,12.91900228675564,2.0773593473770657,1.381647377576968,3.801110409912462,2.381826128687785,,8.388807,1.0292057,1.7340798,3.2515352,1.4061841,2.4618454,3.8621354,3.5832934,6.3994493,2.4184558,1.44334,2.873044,4.570162,7.738926,5.0464664,1.5355355,1.4694065,2.9690576
46,BZK8le8meIzImjGV,LLPU,4.4817054635320295,2.713524874219346,2.6156025865229884,8.434355573012272,6.991446521222168,7.10814371828642,2.036815771350693,2.112445175369775,2.080591734401774,2.339724202313592,8.706569347288545,2.3286309078844334,2.2551056290165388,4.408297151653671,3.4535494038071937,,1.9479194,1.5471325,1.5062093,6.3774166,2.6491895,3.3083255,11.503252,8.108657,4.8077536,3.8430963,2.8437154,2.337842,7.54987,7.0733776,2.1446648,7.219883,2.0467937,2.3432932
