Unnamed: 0,subject_hash,project,hip_flexion_median,hip_adduction_median,hip_rotation_median,knee_angle_median,ankle_angle_median,lumbar_extension_median,lumbar_bending_median,lumbar_rotation_median,neck_extension_median,neck_bending_median,neck_rotation_median,arm_flex_median,arm_add_median,elbow_flex_median,All_median,camera_name,RTE (cm),pelvis_tilt_mean,pelvis_list_mean,pelvis_rotation_mean,hip_flexion_r_mean,hip_adduction_r_mean,hip_rotation_r_mean,knee_angle_r_mean,ankle_angle_r_mean,subtalar_angle_r_mean,hip_flexion_l_mean,hip_adduction_l_mean,hip_rotation_l_mean,knee_angle_l_mean,ankle_angle_l_mean,subtalar_angle_l_mean,lumbar_extension_mean,lumbar_bending_mean,lumbar_rotation_mean
7994,xmAis8zOpJWFeZHi,Control,5.69669877256257,0.5961548120205971,1.5705434549230448,1.7349519633111008,1.169319416707922,6.568197657963733,0.9785015158543652,1.077835836142678,10.394588476925302,0.3522032884251635,4.636083327734468,1.5409917428224449,1.0903559080464795,1.603803821384247,1.4783830029608769,21219799,0.2627647008227184,0.14260738,0.08780413,0.1774739,5.247961,0.22696608,1.619575,2.3240216,0.71305156,0.30060402,6.198465,1.1219511,1.5156373,0.63113767,1.6602118,4.397343,6.550334,0.9797035,1.0518624
7995,xmAis8zOpJWFeZHi,Control,4.415003842803784,1.0604014957915004,2.35878730915072,3.614501047560653,7.903042925121403,8.578062028533884,0.9306347376565984,0.9068366739908602,12.89838062734004,4.559621431221818,3.773594822910008,1.5499439056324975,1.7870798733284006,2.636589694334695,2.647977477888763,21219799,8.664487316228312,1.5937575,0.8062293,0.9768696,3.834032,1.4179692,3.930015,5.0342407,7.2536864,3.2463534,4.935797,1.3896787,2.0201614,3.9652743,9.76672,2.5689206,8.521252,1.0832254,1.0755444
7996,xmAis8zOpJWFeZHi,Control,4.826127098498928,0.9389966721199824,1.9438088318069988,3.005950058103261,8.846793304491781,8.921209270434463,0.992752104843944,0.9532232114013514,14.509038359375191,4.89901611321437,6.8775827788258175,2.39921667058644,1.708996824969299,3.5016563923132624,2.855563933247282,21219799,9.10673613548746,1.3818802,0.89359796,1.163017,4.4328494,1.2694209,3.759566,4.2032866,7.589894,3.6781585,5.0322466,1.292023,2.1007147,4.4485817,10.349417,3.1011336,8.844949,1.1750106,1.2035909
7997,xmAis8zOpJWFeZHi,Control,5.944426179308873,1.387246025949259,3.4104656620178586,3.435852392906766,4.270735781462391,5.368297227446993,1.225372284268906,1.6377637267844407,5.179728085763599,4.157622762534011,2.7246186129102123,2.250138075769036,3.4655770743855863,2.75590060320606,3.060097662322745,22047081,5.272611491449835,3.1655924,1.3945596,3.967637,8.765811,1.2582737,2.7279487,4.278117,4.623452,5.940747,6.324461,2.0106335,5.062543,3.4089427,6.4395475,6.5213127,6.743934,1.3544227,2.0455325
7998,xmAis8zOpJWFeZHi,Control,3.3606637947036107,1.878145529363728,2.973424572050706,1.7932233872556098,8.192659630945744,4.165754787163048,2.5800394877213924,1.5616641134208036,1.7427331026796138,1.683204066954055,1.9964169529217548,1.93269658271781,2.8060703456573988,3.1082338577072783,2.6381235849062663,22047081,5.407686897266816,1.6496271,0.91764605,1.1438991,3.471174,2.3215375,3.4526317,2.7228098,8.2335615,5.1497445,3.9700823,1.7826589,3.1246555,2.3161597,8.314587,9.2572975,4.291968,2.7993774,2.0409493
7999,xmAis8zOpJWFeZHi,Control,6.189520270082698,1.5613150348370897,3.154350195808235,3.278874257720393,3.975990017697344,5.605622669222094,0.9003652544243502,1.5426370399536036,3.847221039624215,4.881921190712637,1.59104686402409,2.4413358590271463,3.1851474354527056,2.726729327742246,3.0435652036881056,22047081,5.017581603083581,2.9858017,1.4823183,3.955815,9.044374,1.4054542,3.110677,4.799382,3.5240605,6.213234,6.7331038,2.4823368,4.566368,3.5260458,5.9458184,5.5673676,7.175983,1.2941082,1.915125
8000,xmAis8zOpJWFeZHi,Control,4.284183934738055,2.074972246466088,2.6885123273912965,2.344682822143261,7.880785191382964,3.6678158994856624,2.9425195838304377,2.676068205891541,1.3966871802741,2.160729866245986,2.157461552844297,2.043907566184553,2.313161266582384,3.0883157129468803,2.7453331077793024,22047081,6.264245706062859,2.371624,1.9859904,2.179696,4.420391,2.2263436,3.0300667,3.480081,7.6345983,5.8232317,4.6243753,2.5588377,2.8716078,2.7778807,7.748747,8.489009,4.335757,2.9734015,3.0953805
8001,xmAis8zOpJWFeZHi,Control,5.595936437155292,2.083546361451236,2.4153286359744794,3.058973863442312,4.836282757305278,5.799901096132381,1.1818858952409628,1.9398988774257264,4.668623039413075,5.38159763334995,1.869995962754684,2.0990409627000344,3.1916315927204346,3.0199941259228047,3.0638670102866574,22047081,5.6856520248070375,2.919632,1.5135787,3.973961,8.79699,1.9088686,2.1981933,4.7827115,4.0944552,5.6756954,6.5272093,2.862979,3.9710667,4.0637627,7.054206,5.864432,7.1157455,1.5877875,2.410214
8002,xmAis8zOpJWFeZHi,Control,5.127236294379955,2.173853623219699,2.921439652405966,2.447222083285571,8.251613985106477,4.398366196543587,2.982558419951852,2.6630653287542723,1.4762191724704457,1.8286460025696043,2.391425123758042,1.888293772324392,2.054017995877852,3.159700619937527,2.8109695383977216,22047081,5.620167031895795,2.2326522,1.760919,2.5925488,5.2021475,2.5206532,3.2311666,4.1493187,8.210878,6.6293087,5.735227,2.624981,3.3055754,3.1639678,9.124241,8.88937,4.8118567,3.0328116,2.9660966
8003,xmAis8zOpJWFeZHi,Control,6.422454492976311,1.2976074399226876,2.361309446217487,3.2589383594195103,4.467028059099386,6.72217868702025,1.27292954321541,1.588598282942133,4.35806078886384,3.9437267866851857,2.4676719484493987,2.4853165669914854,3.262662403112543,2.327138059311208,2.900326800582096,22047081,3.87042740745542,3.1051288,1.6571016,3.040135,8.162912,1.2414452,2.2741098,4.669279,4.8153687,6.3055744,5.914031,1.6515673,3.5872405,3.1697946,6.2310576,4.2916746,7.0156665,1.4461619,2.1303415
8004,xmAis8zOpJWFeZHi,Control,5.383738759207872,2.261824873691826,3.246405796076077,2.1258396718517245,7.444539703510559,5.977904073515768,1.9157218863505767,1.292161084294308,2.954257106682243,1.2765143372950851,2.027449449709593,1.8552004423256503,2.4618960366858875,2.69359315178494,2.697260817661338,22047081,5.859664859788584,1.664203,1.0805572,2.317862,4.7617145,2.654832,3.816217,2.6554694,7.6350856,4.559991,5.909526,2.032411,3.588468,2.6965826,6.7680244,8.445943,5.746857,2.190283,1.7939975
8005,xmAis8zOpJWFeZHi,Control,7.589987020410436,1.4968942391385898,2.192679802520973,2.7684616732663145,3.796292494892365,7.688084549899631,1.1677221342551505,1.161727962128417,3.971950761885042,3.434563366794372,1.3586377592146843,2.298768659593447,3.231196470857961,2.442603822126826,2.7097202912271823,22047081,4.230981041237515,2.4856741,1.4323459,3.4057972,9.412425,1.3384198,2.2702637,4.520589,4.2085195,6.5275974,7.5883164,2.030591,2.8692532,3.3427424,6.0622,4.120999,8.084956,1.2726173,1.7430879
8006,xmAis8zOpJWFeZHi,Control,2.697148385999306,2.189278229035193,2.577450208736075,1.831639946106153,8.907789525713518,2.652141103290645,2.8389404242329737,1.257058438937657,1.361843543412253,2.194567355852892,9.19635508272784,3.453034299915961,4.48366154259399,4.92228387952746,3.0829123145157578,22047081,4.994122624531297,1.5466958,0.83143467,2.6161785,2.9461503,2.7238958,3.3057654,1.9150878,8.306072,3.7494774,3.3477554,2.1826804,2.7096183,2.4215899,9.793899,11.376542,3.200959,3.009848,1.4410439
8007,xmAis8zOpJWFeZHi,Control,5.558513495738684,1.7589151504331768,2.465302112178912,1.8860121510844807,5.445400755708149,4.774252933319285,2.268436426318059,1.6782475924354825,3.167395009231021,4.37146515799339,4.76992112339379,2.3690824149911016,5.496735992000462,2.435919146307751,3.16823778746458,22047081,5.29359787409178,3.2216613,1.8088022,3.112935,6.476498,2.1155956,2.0662498,2.3763368,4.651059,7.835422,5.7747116,1.9183972,3.601899,2.0692098,6.662638,3.422101,5.9709353,3.001067,2.0289664
8008,xmAis8zOpJWFeZHi,Control,4.11435995962322,2.448717837884766,2.7507263854122783,1.981869603483018,7.631068685947408,3.1746710031457206,2.940738504679129,1.7631647773284609,1.7973138034439522,1.8152317089476648,7.697476263916439,3.418297425269489,4.447734564763835,4.257427628944698,3.4070886840214385,22047081,5.50989749727487,2.2898865,1.1903726,2.991733,4.227664,2.7331703,3.9335666,2.226696,6.743522,3.474715,5.1547594,2.6478956,2.2228298,2.7474153,8.685382,10.50223,3.9979515,3.035507,2.0828662
8009,xmAis8zOpJWFeZHi,Control,6.561914679268751,2.3029672138026656,2.675321862605186,4.340596311719549,4.386001900655071,6.391189057032638,3.512156926308529,0.9420139497456126,6.7871193088284985,3.907985276884228,2.8793668927779223,2.082675440158409,3.711670127847576,4.713454217310963,3.615739408670388,22047081,10.444106009913895,2.098692,2.2376487,5.4355426,8.520305,2.931597,3.1616492,5.1672864,5.9661627,4.8470964,7.474846,3.0797455,3.1675558,4.6246853,5.8384676,11.149674,8.555916,3.193453,1.2117281
8010,xmAis8zOpJWFeZHi,Control,6.978503970635788,2.64474772583487,3.31895480915332,3.561311619782125,5.39938973740581,6.547664228488592,2.0569245997975543,1.279026391269286,8.971047153482594,3.252537255361423,3.144968478074272,2.616237843691564,3.3251239092782736,5.005185368701086,3.5978245130287165,22047081,8.239758991105843,1.8065271,3.093439,7.0629783,9.447669,3.0459452,4.3028383,4.5871854,6.0809836,5.109978,9.007256,2.7097056,3.428066,3.90272,5.9314203,9.656049,8.852435,2.473325,1.5894897
8011,xmAis8zOpJWFeZHi,Control,5.842005834796391,1.2575202650895132,3.077045357655756,2.4811941959151835,6.24971343698533,9.709131950191695,0.5210326424691794,0.5339188218553366,11.009788125942585,0.6804690811115234,2.178529529324372,0.6073824194990479,2.481134114647725,2.315666345081976,2.339434007515609,22047081,0.4892146234085704,0.23582359,0.15320486,0.25696057,7.2373757,0.41996285,2.0945122,1.1534351,5.5817866,3.4212618,4.614537,2.0895772,4.0246735,4.4428654,7.095085,7.789862,9.605596,0.5319257,0.5320792
8012,xmAis8zOpJWFeZHi,Control,6.178868180115772,1.2285998615879357,3.054367895271712,2.7331240407034865,6.625456285510092,9.715580749203664,0.6636832755099237,0.3209556380501649,11.170158960679183,0.8341093165935066,2.522358270850363,0.6252916400030368,2.4987872379332967,2.653609313376509,2.377326726659674,22047081,0.4588099314959171,0.1429566,0.10423874,0.14354463,7.440606,0.46869862,2.1905508,0.9821008,5.645385,3.4274933,4.795208,2.0652478,4.007832,4.434517,7.2185774,7.603931,9.709299,0.6609924,0.31660324
8013,xmAis8zOpJWFeZHi,Control,5.793687002648271,1.2549966294322608,3.164535695507261,2.7783017382546134,6.030479965325452,9.135187048704966,0.6055304737165081,0.2577369871876124,11.689945364690304,1.2852023350850714,1.5632115488046374,0.7889556018076662,2.5874873517931123,3.5813130839221774,2.4465619211398355,22047081,0.4780679894380134,0.16689424,0.15194538,0.17661083,6.954304,0.35754508,2.2243867,0.894001,5.219054,3.483599,4.3672237,2.14052,4.0072837,4.330882,6.781605,7.1276584,9.099299,0.6130117,0.27400994
8014,xmAis8zOpJWFeZHi,Control,6.604397610301464,1.3270076627605347,2.67131977097294,2.5428976472421807,5.596804307828153,10.144805831858434,0.6776480684523434,0.276228281051552,12.85721837003591,1.6531367314754,1.7720684772563091,0.7440381319785017,2.357229803715706,3.12742866218653,2.287293898128432,22047081,0.3580656311959431,0.16346171,0.092169985,0.11928,8.17738,0.21968596,1.8117243,0.58722484,4.950765,3.399588,5.3101006,2.2873778,3.6191564,4.143614,6.132139,7.7245703,10.140251,0.6738451,0.2809853
8015,xmAis8zOpJWFeZHi,Control,6.280437797427648,1.2390592566942238,2.92228673296413,2.199725657396535,3.759454307261241,9.649823489649007,0.7257211823624536,0.1875503703625236,12.495614895775557,1.5732380407656084,2.418239060072669,1.0373344466204293,2.376746405941946,3.519506640949944,2.3403371944685856,22047081,0.3721370426772439,0.15888068,0.115443364,0.1331705,7.6774096,0.37101537,2.067034,0.6228946,5.023761,3.150919,5.031912,2.0945065,3.7363093,3.81728,2.9112566,6.0712504,9.629017,0.73199254,0.20371172
8016,xmAis8zOpJWFeZHi,Control,7.826990950914465,1.1555774964458367,2.8257294019326062,1.954971202622592,5.842924101093939,11.40917544309555,0.44536310836315,0.6301252270564228,11.45471648948882,1.1043336923918554,0.4297356562994623,1.83184038448792,2.4438993110912626,2.895703719505269,2.483846627602804,22047081,0.3240610147981135,0.14757335,0.09657978,0.13328364,9.246199,0.20763625,2.2892766,0.51036054,5.277965,2.6271358,6.4372916,2.121184,3.506842,3.9442542,6.44451,7.03993,11.398255,0.4556905,0.63753784
8017,xmAis8zOpJWFeZHi,Control,5.3411496005473085,1.6461319273809496,3.507345859956004,2.8423453039306743,10.117896907951664,6.525372085993699,1.2116208106460031,0.844687122303525,5.258832189048209,4.0098490543480505,6.427092052631035,1.7616976720177775,2.2099732298913533,3.8592776764888055,3.2326469711531214,22047081,2.5537878597529,0.9830967,0.9882012,1.2076494,6.358303,1.424783,2.8455749,3.0123212,10.5487385,3.6900573,4.64414,2.3152735,4.616303,3.8494606,9.85789,7.7564507,6.5111737,1.3919817,1.175687
8018,xmAis8zOpJWFeZHi,Control,6.563390692820271,1.6835864467266173,3.261386801358443,2.3621829758768498,8.616281671621639,6.583551181952513,1.2126653666085934,0.7229171705622387,5.361530802983439,5.073987325970965,6.635216150036433,1.5259259434658072,2.736854704856796,3.627274585893935,3.271662154294418,22047081,2.453160655898,1.0069956,1.1361077,1.0267453,7.4808955,1.7731271,2.8987598,2.9113908,10.232685,4.4723144,5.836877,2.386481,4.166741,3.3562677,8.842642,8.559845,6.8326774,1.283152,0.8695912
8195,fd-4kxbP9rgTkM_D,Control,16.253484547289588,1.425813035967757,1.9980875860046192,3.329318480515517,8.888806077332944,18.5515175512318,1.950515714879019,1.0648329612528864,7.231582044130677,1.8249025444518008,2.758539097088012,3.38713589256372,1.961586759773827,2.945055879764394,3.0468379197836444,21074920,4.866331904346977,1.3832414,0.8362514,2.5385878,13.388679,2.384932,3.5325289,5.2110324,11.701737,5.6723075,17.466509,1.3839185,2.062435,4.3153977,6.176131,5.27231,18.254011,2.048878,1.5635856
8196,fd-4kxbP9rgTkM_D,Control,9.90902363561288,1.901145448385507,3.692545810785755,3.4530568878426307,7.579174330759462,14.880484805199558,1.7462231603669576,2.665156147360438,12.45525261314283,0.7262724019206664,1.3282081516511188,4.4631410609843645,2.3740047391554744,3.3873355516368786,3.6005227944259106,21074920,5.182322649612901,2.5685816,1.9531538,1.8555192,9.062653,2.9175587,4.657524,7.2858863,10.229125,6.39978,10.447694,1.7963222,3.5487857,4.8479915,7.748622,5.8981266,14.960669,2.1011622,2.662244
8197,fd-4kxbP9rgTkM_D,Control,16.54242349864389,1.5152908869403416,2.224007895682805,2.6999432481941468,6.045369484969148,17.50905552889451,1.839458006167609,1.4233689071390123,5.044739649538331,1.841855024569786,3.025731545630244,2.8243500887170363,1.5702262134859386,2.6574401537420225,2.809073763382913,21074920,4.680915673720129,1.1706194,1.0364525,2.5125496,14.698847,2.3328853,3.813878,2.9666505,6.23707,26.40271,16.62632,1.5228399,1.9092816,3.4319806,6.5541444,4.287545,16.877876,2.0826476,1.7682465
8198,fd-4kxbP9rgTkM_D,Control,9.267507881046193,2.985064225737671,3.5064876825428946,4.272846531967024,7.513951301767028,11.599776040461014,3.201352526339092,2.6113471989456727,8.007217247105052,1.124229340956716,1.7287819029566298,3.836355132456196,2.979545798119668,4.575007295146487,4.107641754764118,21074920,7.502681906746201,2.7089763,2.5164032,1.3336442,7.626864,4.996146,11.219336,9.886094,9.654897,23.32639,9.941807,2.1833384,2.7447426,6.392842,8.352762,5.8798027,12.000488,3.5061376,2.842401
